scenario,classifier,vectorizer,features_used,accuracy_mean,accuracy_variance,accuracy_min,accuracy_max,precision_mean,precision_variance,precision_min,precision_max,recall_mean,recall_variance,recall_min,recall_max,f1_score_mean,f1_score_variance,f1_score_min,f1_score_max,roc_auc_mean,roc_auc_variance,roc_auc_min,roc_auc_max
en_equal,XGBoost,Word2Vec,"qtd_friends, qtd_reviews, qtd_photos",0.8042148689196231,1.0691710942825955e-05,0.800205973223481,0.8088210056632916,0.7872399666610688,2.014699279953543e-05,0.7842377260981912,0.7948885976408913,0.8338024395881384,1.8814791363129195e-05,0.8280123583934088,0.8400274630964641,0.8098421853061355,9.083840122674191e-06,0.8056112224448898,0.8132752262822661,0.8850045666044066,2.461033245196273e-05,0.8783617221190472,0.8907747580780639
en_equal_pt,Random Forest,TF-IDF,"qtd_friends, qtd_reviews, qtd_photos",0.7793057062032954,0.00021468343010139413,0.7586715867158672,0.7961595273264401,0.737130858916098,0.0003259296647391628,0.7088305489260143,0.7587096774193548,0.8692121671612136,0.0001782257043891196,0.8480825958702065,0.8833087149187593,0.7975896972730578,0.00012758112119956637,0.7841584158415841,0.8099173553719009,0.8776550183441477,0.00011317424215769992,0.8652479488285556,0.8871443875469369
en_equal_pt,Logistic Regression,TF-IDF,"qtd_friends, qtd_reviews, user_has_photo, word_count",0.8430775016760508,6.131988947587681e-05,0.8317343173431734,0.8501845018450185,0.8956150166604637,9.698016814929537e-05,0.8883248730964467,0.9128919860627178,0.7767946388500369,0.00024679411265915246,0.7536873156342183,0.7964601769911505,0.831886482899381,8.904485567856684e-05,0.8176,0.8417770849571318,0.9223731145042974,5.815649883982788e-05,0.9105567247486961,0.9299747715716136
en_equal_pt,KNN,TF-IDF,"qtd_friends, qtd_reviews, qtd_photos",0.743283751301324,0.0001892568257635339,0.7232472324723247,0.7608856088560886,0.7309925102794468,0.00029751589225649773,0.7035040431266847,0.7458333333333333,0.7705934127222738,0.0002508743084344467,0.7492625368731564,0.7920353982300885,0.7501296333699156,0.00014802581200057505,0.7357293868921776,0.7682403433476395,0.8173680242228645,0.0002758754971228593,0.7960266314601552,0.8348485640710579
en_equal_pt,SVC,TF-IDF,"qtd_friends, qtd_reviews, qtd_photos, punctuation_count, word_count",0.6142674159385612,0.005209568051598966,0.4878228782287823,0.6617429837518464,0.5893975847357071,0.0038570546478753254,0.4790575916230366,0.6271186440677966,0.6738726726883744,0.06374951878743472,0.26991150442477874,0.9113737075332349,0.61528896224497,0.024403066960957294,0.3452830188679245,0.7293144208037825,0.6952235908830572,0.00655136503629062,0.608551957926476,0.8101887508754627
en_equal_pt,XGBoost,TF-IDF,"qtd_friends, qtd_reviews, qtd_photos",0.8173922285751661,0.0002968889732359076,0.7896678966789668,0.8323485967503693,0.8035930902454211,0.00042454669438313116,0.7684931506849315,0.8177966101694916,0.8405663542524499,0.00019299194513704818,0.827433628318584,0.855457227138643,0.8215923084132173,0.0002468232571814754,0.7974413646055437,0.836101083032491,0.8988896081662713,0.00021632255419562946,0.8781606340657856,0.9154608000766873
en_equal_pt,Random Forest,BoW,"qtd_friends, qtd_reviews, qtd_photos",0.7686785089416627,0.0003871998982636195,0.7424354243542436,0.7968980797636632,0.7172671288376649,0.00047076034224254417,0.6867881548974943,0.7481481481481481,0.8884018945286118,0.0001864002188184241,0.8643067846607669,0.896602658788774,0.7935499230501093,0.00022440657073437542,0.7755627009646303,0.8150638870208474,0.872416473884474,0.00010929707448302644,0.8612676087022828,0.8832792600948227
en_equal_pt,Logistic Regression,BoW,"qtd_friends, qtd_reviews, user_has_photo, word_count",0.8294963126883854,0.00019450259751413056,0.8066420664206642,0.8405904059040591,0.8244937833794532,0.00013309488903082964,0.8141993957703928,0.8415545590433483,0.8373289238049176,0.000775061737565547,0.7949852507374632,0.8714918759231906,0.8306718474500782,0.0002502537376629587,0.8044776119402984,0.8452722063037249,0.9113742372244857,0.00016915109366241906,0.8893195295922058,0.9231556885966632
en_equal_pt,KNN,BoW,"qtd_friends, qtd_reviews, qtd_photos",0.7078535104405697,6.358647297191255e-05,0.6988929889298893,0.7158671586715867,0.659859856008476,7.879076658570034e-05,0.6476399560922064,0.671746776084408,0.858573090547836,0.00034476798669798265,0.844903988183161,0.8849557522123894,0.7460865735262262,5.0405622840687604e-05,0.7385409941897999,0.7570977917981071,0.7637665015156281,0.00019155190890454617,0.7399227896803091,0.7751587125222764
en_equal_pt,SVC,BoW,"qtd_friends, qtd_reviews, qtd_photos, punctuation_count, word_count",0.7716294483476593,0.00016107673597507826,0.7586715867158672,0.7895125553914328,0.7176728977996376,0.00014360406766893055,0.7053990610328639,0.7355769230769231,0.8957760900728967,8.17549114111127e-05,0.8877400295420975,0.9070796460176991,0.7968797232258937,0.00011206963986977792,0.7861347285807718,0.8111332007952287,0.8734780295364466,0.00013157056960729014,0.8605639141972001,0.8901539413428148
en_equal_pt,XGBoost,BoW,"qtd_friends, qtd_reviews, qtd_photos",0.8015966904129899,0.0002983174253419539,0.7749077490774908,0.8175775480059084,0.7818637262847574,0.00043181755416206853,0.7453825857519789,0.7961432506887053,0.8373167235286685,0.00036852425209275,0.8153618906942393,0.859882005899705,0.8084753561377408,0.0002445206467333456,0.7874564459930313,0.8239486813970064,0.8817335161160751,0.00022906719230373333,0.8580846437737196,0.8997387833710234
en_equal_pt,Random Forest,Word2Vec,"qtd_friends, qtd_reviews, qtd_photos",0.7801903339565154,0.0002526445671204766,0.7557195571955719,0.7970479704797048,0.7481357703205512,0.0002993862618887606,0.7184343434343434,0.76,0.8452865539884009,0.0002285174107673441,0.8301329394387001,0.8687315634218289,0.7936642753400008,0.0001918787125460636,0.7746766507828456,0.8107364074328974,0.8517704582513478,0.00016615905668361628,0.8383724831483685,0.8713524441946293
en_equal_pt,Logistic Regression,Word2Vec,"qtd_friends, qtd_reviews, user_has_photo, word_count",0.781075179732595,0.0001300708268124753,0.7682656826568266,0.7985239852398524,0.8399032882175353,0.0005233181160016686,0.8050420168067227,0.8596802841918295,0.6953068151614576,0.0002619264921822637,0.672566371681416,0.7138643067846607,0.7605420738989853,0.00013151182468989126,0.7530966143682907,0.7800161160354553,0.8673774569749593,8.946450781037892e-05,0.8583831148176714,0.8825069824795317
en_equal_pt,KNN,Word2Vec,"qtd_friends, qtd_reviews, qtd_photos",0.7475648481743311,0.00014665805486689692,0.7276752767527676,0.7601476014760148,0.7403816782583176,0.0003839239354839948,0.7075471698113207,0.7579425113464447,0.7638043947137946,0.00029172851300709573,0.7389380530973452,0.7831858407079646,0.7516340840205864,8.69910350033113e-05,0.7399577167019027,0.7656813266041818,0.814005042467626,0.00021894733531576557,0.7940745872602973,0.8302756390983996
en_equal_pt,SVC,Word2Vec,"qtd_friends, qtd_reviews, qtd_photos, punctuation_count, word_count",0.49999978197714035,1.4986057059365478e-06,0.4985228951255539,0.5018450184501845,0.4168883961566888,0.013935396434338866,0.25,0.5011086474501109,0.6005908419497784,0.2991143916269754,0.0014771048744460858,1.0,0.4013725218473446,0.1322912635827508,0.0029368575624082235,0.6676514032496308,0.568509221174873,0.0150204463555394,0.4161268433810647,0.6945290475505765
en_equal_pt,XGBoost,Word2Vec,"qtd_friends, qtd_reviews, qtd_photos",0.7869814190017823,0.00029037769914671836,0.7653136531365313,0.8073800738007381,0.768846489492903,0.00033500549985356157,0.739652870493992,0.7844474761255116,0.8210794630135553,0.00034035779494597386,0.7979351032448377,0.8480825958702065,0.7940181279574219,0.000255670177576953,0.7769985974754557,0.8150248051027641,0.8620688622954704,0.00017902274067740963,0.8451000640514503,0.8808751955312132




